Title,Href,Rating,Stock,Price,Category,Count
Mesaerion,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,1,Instock,$37.59,Science Fiction,19
Libertarianism for Beginners,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,2,Instock,$51.33,Politics,19
It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,2,Instock,$45.17,Travel,19
In Her Wake,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,1,Instock,$12.84,Thriller,19
How Music Works,https://books.toscrape.com/catalogue/how-music-works_979/index.html,2,Instock,$37.32,Music,19
Foolproof Preserving,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,3,Instock,$30.52,Food And Drink,19
Chase Me,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,5,Instock,$25.27,Romance,19
Black Dust,https://books.toscrape.com/catalogue/black-dust_976/index.html,5,Instock,$34.53,Romance,19
Birdsong,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,3,Instock,$54.64,Childrens,19
America's Cradle of Quarterbacks,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,3,Instock,$22.50,Default,19
Aladdin and His Wonderful ...,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,3,Instock,$53.13,Default,19
Worlds Elsewhere,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,5,Instock,$40.30,Nonfiction,18
Wall and Piece,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,4,Instock,$44.18,Art,18
The Four Agreements,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,5,Instock,$17.66,Spirituality,18
The Five Love Languages,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,3,Instock,$31.05,Nonfiction,18
The Elephant Tree,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,5,Instock,$23.82,Thriller,18
The Bear and the ...,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,1,Instock,$36.89,Childrens,18
Sophie's World,https://books.toscrape.com/catalogue/sophies-world_966/index.html,5,Instock,$15.94,Philosophy,18
Penny Maybe,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,3,Instock,$33.29,Default,18
Maude,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,2,Instock,$18.02,Default,18
"In a Dark, Dark ...",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,1,Instock,$19.63,Mystery,18
Behind Closed Doors,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,4,Instock,$52.22,Thriller,18
You can't bury them ...,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,2,Instock,$33.63,Poetry,17
Slow States of Collapse,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,3,Instock,$57.31,Poetry,17
Reasons to Stay Alive,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,2,Instock,$26.41,Nonfiction,17
Private Paris,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,5,Instock,$47.61,Fiction,17
#HigherSelfie,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,5,Instock,$23.11,Nonfiction,17
Without Borders,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,2,Instock,$45.07,New Adult,16
When We Collided,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,1,Instock,$31.77,Contemporary,16
"We Love You, Charlie ...",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,5,Instock,$50.27,Fiction,16
Untitled Collection,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,4,Instock,$14.27,Poetry,16
Unseen City,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,4,Instock,$44.18,Nonfiction,16
Unicorn Tracks,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,3,Instock,$18.78,Fantasy,16
Unbound,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,1,Instock,$25.52,History,16
Tsubasa,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,1,Instock,$16.28,Sequential Art,16
Throwing Rocks at the ...,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,3,Instock,$31.12,Nonfiction,16
This One Summer,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,4,Instock,$19.49,Sequential Art,16
Thirst,https://books.toscrape.com/catalogue/thirst_946/index.html,5,Instock,$17.27,Fiction,16
The Torch Is Passed,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,1,Instock,$19.09,Add A Comment,16
The Secret of Dreadwillow ...,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,1,Instock,$56.13,Childrens,16
The Pioneer Woman Cooks,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,1,Instock,$56.41,Food And Drink,16
The Past Never Ends,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,4,Instock,$56.50,Mystery,16
The Natural History of ...,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,3,Instock,$45.22,Young Adult,16
The Nameless City,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,4,Instock,$38.16,Sequential Art,16
The Murder That Never ...,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,3,Instock,$54.11,Fiction,16
The Most Perfect Thing,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,4,Instock,$42.96,Science,16
The Mindfulness and Acceptance ...,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,4,Instock,$23.89,Add A Comment,16
The Life-Changing Magic of ...,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,3,Instock,$16.77,Nonfiction,16
The Inefficiency Assassin,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,5,Instock,$20.59,Default,16
The Gutsy Girl,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,1,Instock,$37.13,Nonfiction,16
The Electric Pencil,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,1,Instock,$56.06,Nonfiction,16
The Death of Humanity,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,4,Instock,$58.11,Philosophy,16
The Bulletproof Diet,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,3,Instock,$49.05,Health,16
The Art Forger,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,3,Instock,$40.76,Add A Comment,16
The Age of Genius,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,1,Instock,$19.73,History,16
The Activist's Tao Te ...,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,5,Instock,$32.24,Spirituality,16
Spark Joy,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,4,Instock,$41.83,Nonfiction,16
Soul Reader,https://books.toscrape.com/catalogue/soul-reader_926/index.html,2,Instock,$39.58,Default,16
Security,https://books.toscrape.com/catalogue/security_925/index.html,2,Instock,$39.25,Horror,16
"Saga, Volume 6",https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,3,Instock,$25.02,Fantasy,16
"Saga, Volume 5",https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,2,Instock,$51.04,Sequential Art,16
Reskilling America,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,2,Instock,$19.83,Nonfiction,16
"Rat Queens, Vol. 3",https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,3,Instock,$50.40,Sequential Art,16
"Princess Jellyfish 2-in-1 Omnibus, ...",https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,5,Instock,$13.61,Sequential Art,16
Princess Between Worlds,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,5,Instock,$13.34,Fantasy,16
"Pop Gun War, Volume ...",https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,1,Instock,$18.97,Sequential Art,16
Political Suicide,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,2,Instock,$36.28,History,16
Patience,https://books.toscrape.com/catalogue/patience_916/index.html,3,Instock,$10.16,Sequential Art,16
"Outcast, Vol. 1",https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,4,Instock,$15.44,Sequential Art,16
orange,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,1,Instock,$48.41,Sequential Art,16
Online Marketing for Busy ...,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,1,Instock,$46.35,Self Help,16
On a Midnight Clear,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,3,Instock,$14.07,Add A Comment,16
Obsidian,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,2,Instock,$14.86,Young Adult,16
My Paris Kitchen,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,2,Instock,$33.37,Food And Drink,16
Masks and Shadows,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,2,Instock,$56.40,Fantasy,16
Mama Tried,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,4,Instock,$14.02,Food And Drink,16
"Lumberjanes, Vol. 2",https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,2,Instock,$46.91,Sequential Art,16
"Lumberjanes, Vol. 1",https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,3,Instock,$45.61,Sequential Art,16
Lumberjanes Vol. 3,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,2,Instock,$19.92,Sequential Art,16
Layered,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,1,Instock,$40.11,Food And Drink,16
Judo,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,2,Instock,$53.90,Add A Comment,16
Join,https://books.toscrape.com/catalogue/join_902/index.html,5,Instock,$35.67,Science Fiction,16
In the Country We ...,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,4,Instock,$22.00,Nonfiction,16
Immunity,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,5,Instock,$57.36,Science,16
"I Hate Fairyland, Vol. ...",https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,2,Instock,$29.17,Sequential Art,16
I am a Hero ...,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,3,Instock,$54.63,Sequential Art,16
How to Be Miserable,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,1,Instock,$46.03,Self Help,16
Her Backup Boyfriend,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,1,Instock,$33.97,Romance,16
"Giant Days, Vol. 2 ...",https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,2,Instock,$22.11,Sequential Art,16
Forever and Forever,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,3,Instock,$29.69,Historical Fiction,16
First and First,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,4,Instock,$15.97,Romance,16
Fifty Shades Darker,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,1,Instock,$21.96,Romance,16
Everydata,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,2,Instock,$54.35,Nonfiction,16
Don't Be a Jerk,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,2,Instock,$37.97,Religion,16
Danganronpa Volume 1,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,4,Instock,$51.99,Sequential Art,16
Crown of Midnight,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,3,Instock,$43.29,Fantasy,16
"Codename Baboushka, Volume 1",https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,4,Instock,$36.72,Sequential Art,16
Camp Midnight,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,4,Instock,$17.08,Sequential Art,16
Call the Nurse,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,5,Instock,$29.14,Nonfiction,16
Burning,https://books.toscrape.com/catalogue/burning_884/index.html,3,Instock,$28.81,Young Adult,16
Bossypants,https://books.toscrape.com/catalogue/bossypants_883/index.html,2,Instock,$49.46,Default,16
"Bitch Planet, Vol. 1",https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,2,Instock,$37.92,Sequential Art,16
Avatar,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,2,Instock,$28.09,Fantasy,16
Algorithms to Live By,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,1,Instock,$30.81,Nonfiction,16
A World of Flavor,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,1,Instock,$42.95,Default,16
"A Piece of Sky, ...",https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,5,Instock,$56.76,Default,16
A Murder in Time,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,1,Instock,$16.64,Mystery,16
A Flight of Arrows ...,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,5,Instock,$55.53,Historical Fiction,16
A Fierce and Subtle ...,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,4,Instock,$28.13,Young Adult,16
A Court of Thorns ...,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,1,Instock,$52.37,Fantasy,16
(Un)Qualified,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,5,Instock,$54.00,Christian,16
You Are What You ...,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,4,Instock,$21.87,Religion,15
William Shakespeare's Star Wars,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,4,Instock,$43.30,Science Fiction,15
Tuesday Nights in 1980,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,2,Instock,$21.04,Fiction,15
Tracing Numbers on a ...,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,3,Instock,$41.60,Default,15
Throne of Glass,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,3,Instock,$35.07,Fantasy,15
Thomas Jefferson and the ...,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,1,Instock,$59.64,History,15
Thirteen Reasons Why,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,1,Instock,$52.72,Default,15
The White Cat and ...,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,4,Instock,$58.08,Childrens,15
The Wedding Dress,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html,1,Instock,$24.12,Romance,15
The Vacationers,https://books.toscrape.com/catalogue/the-vacationers_863/index.html,4,Instock,$42.15,Fiction,15
The Third Wave,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,5,Instock,$12.61,Business,15
The Stranger,https://books.toscrape.com/catalogue/the-stranger_861/index.html,4,Instock,$17.44,Philosophy,15
The Shadow Hero,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html,1,Instock,$33.14,Sequential Art,15
The Secret,https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html,4,Instock,$27.37,Default,15
The Regional Office Is ...,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,5,Instock,$51.36,Fiction,15
The Psychopath Test,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,2,Instock,$36.00,Default,15
The Project,https://books.toscrape.com/catalogue/the-project_856/index.html,1,Instock,$10.65,Science Fiction,15
The Power of Now,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,2,Instock,$43.54,Nonfiction,15
The Omnivore's Dilemma,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,2,Instock,$38.21,Nonfiction,15
The Nerdy Nummies Cookbook,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,5,Instock,$37.34,Food And Drink,15
The Murder of Roger ...,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,4,Instock,$44.10,Mystery,15
The Mistake,https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html,3,Instock,$43.29,New Adult,15
The Matchmaker's Playbook,https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html,1,Instock,$55.85,New Adult,15
The Love and Lemons ...,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,2,Instock,$37.60,Food And Drink,15
The Long Shadow of ...,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,1,Instock,$10.97,Crime,15
The Kite Runner,https://books.toscrape.com/catalogue/the-kite-runner_847/index.html,4,Instock,$41.82,Default,15
The House by the ...,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,1,Instock,$36.95,Historical Fiction,15
The Glittering Court,https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html,1,Instock,$44.28,Fantasy,15
The Girl on the ...,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html,2,Instock,$55.02,Default,15
The Genius of Birds,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html,1,Instock,$17.24,Nonfiction,15
The Emerald Mystery,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html,2,Instock,$23.15,Default,15
The Cookies & Cups ...,https://books.toscrape.com/catalogue/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,1,Instock,$41.25,Food And Drink,15
The Bridge to Consciousness,https://books.toscrape.com/catalogue/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,3,Instock,$32.00,Default,15
The Artist's Way,https://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,5,Instock,$38.49,Nonfiction,15
The Art of War,https://books.toscrape.com/catalogue/the-art-of-war_838/index.html,5,Instock,$33.34,Default,15
The Argonauts,https://books.toscrape.com/catalogue/the-argonauts_837/index.html,2,Instock,$10.93,Autobiography,15
The 10% Entrepreneur,https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,3,Instock,$27.55,Business,15
Suddenly in Love,https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html,2,Instock,$55.99,Romance,15
Something More Than This,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html,4,Instock,$16.24,Romance,15
Soft Apocalypse,https://books.toscrape.com/catalogue/soft-apocalypse_833/index.html,2,Instock,$26.12,Science Fiction,15
So You've Been Publicly ...,https://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html,2,Instock,$12.23,Nonfiction,15
Shoe Dog,https://books.toscrape.com/catalogue/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,2,Instock,$23.99,Business,15
"Shobu Samurai, Project Aryoku ...",https://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html,3,Instock,$29.06,Add A Comment,15
Secrets and Lace,https://books.toscrape.com/catalogue/secrets-and-lace-fatal-hearts-1_829/index.html,1,Instock,$20.27,Default,15
Scarlett Epstein Hates It ...,https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html,5,Instock,$43.55,Young Adult,15
Romero and Juliet,https://books.toscrape.com/catalogue/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html,1,Instock,$36.94,Default,15
Redeeming Love,https://books.toscrape.com/catalogue/redeeming-love_826/index.html,5,Instock,$20.47,Christian Fiction,15
Poses for Artists Volume ...,https://books.toscrape.com/catalogue/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,1,Instock,$41.06,Default,15
Poems That Make Grown ...,https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html,4,Instock,$14.19,Poetry,15
"Nightingale, Sing",https://books.toscrape.com/catalogue/nightingale-sing_823/index.html,1,Instock,$38.28,Young Adult,15
Night Sky with Exit ...,https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html,1,Instock,$41.05,Poetry,15
Mrs. Houdini,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,5,Instock,$30.25,Historical Fiction,15
Modern Romance,https://books.toscrape.com/catalogue/modern-romance_820/index.html,5,Instock,$28.26,Add A Comment,15
Miss Peregrineâs Home for ...,https://books.toscrape.com/catalogue/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,1,Instock,$10.76,Default,15
Louisa,https://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html,2,Instock,$16.85,Biography,15
Little Red,https://books.toscrape.com/catalogue/little-red_817/index.html,3,Instock,$13.47,Childrens,15
Library of Souls,https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,5,Instock,$48.56,Young Adult,15
Large Print Heart of ...,https://books.toscrape.com/catalogue/large-print-heart-of-the-pride_815/index.html,2,Instock,$19.15,Default,15
I Had a Nice ...,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,4,Instock,$57.36,Womens Fiction,15
Hollow City,https://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html,1,Instock,$42.98,Fantasy,15
Grumbles,https://books.toscrape.com/catalogue/grumbles_812/index.html,2,Instock,$22.16,Default,15
Full Moon over Noahâs ...,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,4,Instock,$49.43,Travel,15
Frostbite,https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html,5,Instock,$29.99,Young Adult,15
Follow You Home,https://books.toscrape.com/catalogue/follow-you-home_809/index.html,1,Instock,$21.36,Horror,15
First Steps for New ...,https://books.toscrape.com/catalogue/first-steps-for-new-christians-print-edition_808/index.html,1,Instock,$29.00,Default,15
Finders Keepers,https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html,5,Instock,$53.53,Fiction,15
"Fables, Vol. 1",https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html,4,Instock,$41.62,Sequential Art,15
Eureka Trivia 6.0,https://books.toscrape.com/catalogue/eureka-trivia-60_805/index.html,4,Instock,$54.59,Default,15
